Format block usage							
Message type		Uses format list					
							
Variable list - Variables in ALL CAPS are types of a format block; others are embedded or secondary variables							
TableStart	Definitions						
ColumnHeadingsStart	Content	Tablename			Notes	TableType	
AlkariGd	New	Event	Reg	ICO_SitRep_AntaranExpedition	srAlkgrd	srAlkgrd	srAlkgrd
SPLINCOL	New	Red	Reg	sitrep_Planet	SPLINCOL	SPLINCOL	SPLINCOL
ColonyShipBlocked	New	Red	Reg	sitrep_TaskForces	COLSHP01	COLSHP01	COLSHP01
ColonyFailedColonyExists	New	Red	Reg	sitrep_Planet	COLPROB1	COLPROB1	COLPROB1
ColonyFailedNoRegion	New	Red	Reg	sitrep_Planet	COLPROB2	COLPROB2	COLPROB2
OutpostFailedColonyExists	New	Red	Reg	sitrep_Planet	COLPROB3	COLPROB3	COLPROB3
OutpostFailedNoRegion	New	Red	Reg	sitrep_Planet	COLPROB4	COLPROB4	COLPROB4
OwnedOutpostExists	New	Red	Reg	sitrep_Planet	COLPROB5	COLPROB5	COLPROB5
UnownedOutpostExists	New	Red	Reg	sitrep_Planet	COLPROB6	COLPROB6	COLPROB6
SpyDeadImprisonedKilledE	New	Yellow	Spies	sitrep_spy	SPY61	SPY62	SPY63
SpyDeadSuicideCapturedE	New	Yellow	Spies	sitrep_spy	SPY64	SPY65	SPY66
SpyDeadKilledCapturedE	New	Yellow	Spies	sitrep_spy	SPY67	SPY68	SPY69
SpyDeadSuicideEscapingE	New	Yellow	Spies	sitrep_spy	SPY86	SPY87	SPY88
SpyDeadKilledEscapingE	New	Yellow	Spies	sitrep_spy	SPY70	SPY71	SPY72
SpyDeadKilledSqueezeE	New	Yellow	Spies	sitrep_spy	SPY73	SPY74	SPY75
SpyPrisonEscapeCaptureE	New	Yellow	Spies	sitrep_spy	SPY76	SPY77	SPY78
SpyPrisonSqueezeE	New	Yellow	Spies	sitrep_spy	SPY89	SPY90	SPY79
SpyEscapesPrisonE	New	Yellow	Spies	sitrep_spy	SPY80	SPY81	SPY82
SpyEscapesCaptureE	New	Yellow	Spies	sitrep_spy	SPY83	SPY84	SPY85
LeaderDied	New	Event	Reg	ICO_SitRep_Scandal	LeaderDied	LeaderDied	LeaderDied
EmpireKilled	New	Event	Reg	ICO_SitRep_Revolt	EmpireKilled	EmpireKilled	EmpireKilled
EmpireDied	New	Event	Reg	ICO_SitRep_Revolt	EmpireDied	EmpireDied	EmpireDied
EmpireBankrupt	New	Red	Reg	sitrep_empire	EmpBankrupt	EmpBankrupt	EmpBankrupt
StealTechT	New	Event	Reg	ICO_SitRep_ResearchBreakthrough	StlTch01	StlTch02	StlTch03
WarLapse	New	Red	Reg	sitrep_diplomacy	WARLAP01	WARLAP01	WARLAP02
BillFail	New	Yellow	Reg	sitrep_senate	BILLFAIL	BILLFAIL	BILLFAIL
BillSeconded	New	Yellow	Reg	sitrep_senate	BILL2NDD	BILL2NDD	BILL2NDD
GroundForceDisband	New	Green	Reg	sitrep_TaskForces	GFDISBAN	GFDISBAN	GFDISBAN
TaskForceDisband	New	Green	Reg	sitrep_TaskForces	TFDISBAN	TFDISBAN	TFDISBAN
LW01SSIT	New	Yellow	Reg	sitrep_senate	LW01SSIT	LW01SSIT	LW01SSIT
LW02SSIT	New	Yellow	Reg	sitrep_senate	LW02SSIT	LW02SSIT	LW02SSIT
LW03SSIT	New	Yellow	Reg	sitrep_senate	LW03SSIT	LW03SSIT	LW03SSIT
LW04SSIT	New	Yellow	Reg	sitrep_senate	LW04SSIT	LW04SSIT	LW04SSIT
LW05SSIT	New	Yellow	Reg	sitrep_senate	LW05SSIT	LW05SSIT	LW05SSIT
LW06SSIT	New	Yellow	Reg	sitrep_senate	LW06SSIT	LW06SSIT	LW06SSIT
LW07SSIT	New	Yellow	Reg	sitrep_senate	LW07SSIT	LW07SSIT	LW07SSIT
LW08SSIT	New	Yellow	Reg	sitrep_senate	LW08SSIT	LW08SSIT	LW08SSIT
LW09SSIT	New	Yellow	Reg	sitrep_senate	LW09SSIT	LW09SSIT	LW09SSIT
LW10SSIT	New	Yellow	Reg	sitrep_senate	LW10SSIT	LW10SSIT	LW10SSIT
LW11SSIT	New	Yellow	Reg	sitrep_senate	LW11SSIT	LW11SSIT	LW11SSIT
LW12SSIT	New	Yellow	Reg	sitrep_senate	LW12SSIT	LW12SSIT	LW12SSIT
LW13SSIT	New	Yellow	Reg	sitrep_senate	LW13SSIT	LW13SSIT	LW13SSIT
LW14SSIT	New	Yellow	Reg	sitrep_senate	LW14SSIT	LW14SSIT	LW14SSIT
LW15SSIT	New	Yellow	Reg	sitrep_senate	LW15SSIT	LW15SSIT	LW15SSIT
LW16SSIT	New	Yellow	Reg	sitrep_senate	LW16SSIT	LW16SSIT	LW16SSIT
LW17SSIT	New	Yellow	Reg	sitrep_senate	LW17SSIT	LW17SSIT	LW17SSIT
LW18SSIT	New	Yellow	Reg	sitrep_senate	LW18SSIT	LW18SSIT	LW18SSIT
LW19SSIT	New	Yellow	Reg	sitrep_senate	LW19SSIT	LW19SSIT	LW19SSIT
LW20SSIT	New	Yellow	Reg	sitrep_senate	LW20SSIT	LW20SSIT	LW20SSIT
LW21SSIT	New	Yellow	Reg	sitrep_senate	LW21SSIT	LW21SSIT	LW21SSIT
LW22SSIT	New	Yellow	Reg	sitrep_senate	LW22SSIT	LW22SSIT	LW22SSIT
LW23SSIT	New	Yellow	Reg	sitrep_senate	LW23SSIT	LW23SSIT	LW23SSIT
LW24SSIT	New	Yellow	Reg	sitrep_senate	LW24SSIT	LW24SSIT	LW24SSIT
LW25SSIT	New	Yellow	Reg	sitrep_senate	LW25SSIT	LW25SSIT	LW25SSIT
LW01ESIT	New	Yellow	Reg	sitrep_senate	LW01ESIT	LW01ESIT	LW01ESIT
LW02ESIT	New	Yellow	Reg	sitrep_senate	LW02ESIT	LW02ESIT	LW02ESIT
LW03ESIT	New	Yellow	Reg	sitrep_senate	LW03ESIT	LW03ESIT	LW03ESIT
LW04ESIT	New	Yellow	Reg	sitrep_senate	LW04ESIT	LW04ESIT	LW04ESIT
LW05ESIT	New	Yellow	Reg	sitrep_senate	LW05ESIT	LW05ESIT	LW05ESIT
LW06ESIT	New	Yellow	Reg	sitrep_senate	LW06ESIT	LW06ESIT	LW06ESIT
LW07ESIT	New	Yellow	Reg	sitrep_senate	LW07ESIT	LW07ESIT	LW07ESIT
LW08ESIT	New	Yellow	Reg	sitrep_senate	LW08ESIT	LW08ESIT	LW08ESIT
LW09ESIT	New	Yellow	Reg	sitrep_senate	LW09ESIT	LW09ESIT	LW09ESIT
LW10ESIT	New	Yellow	Reg	sitrep_senate	LW10ESIT	LW10ESIT	LW10ESIT
LW11ESIT	New	Yellow	Reg	sitrep_senate	LW11ESIT	LW11ESIT	LW11ESIT
LW12ESIT	New	Yellow	Reg	sitrep_senate	LW12ESIT	LW12ESIT	LW12ESIT
LW13ESIT	New	Yellow	Reg	sitrep_senate	LW13ESIT	LW13ESIT	LW13ESIT
LW14ESIT	New	Yellow	Reg	sitrep_senate	LW14ESIT	LW14ESIT	LW14ESIT
LW15ESIT	New	Yellow	Reg	sitrep_senate	LW15ESIT	LW15ESIT	LW15ESIT
LW16ESIT	New	Yellow	Reg	sitrep_senate	LW16ESIT	LW16ESIT	LW16ESIT
LW17ESIT	New	Yellow	Reg	sitrep_senate	LW17ESIT	LW17ESIT	LW17ESIT
LW18ESIT	New	Yellow	Reg	sitrep_senate	LW18ESIT	LW18ESIT	LW18ESIT
LW19ESIT	New	Yellow	Reg	sitrep_senate	LW19ESIT	LW19ESIT	LW19ESIT
LW20ESIT	New	Yellow	Reg	sitrep_senate	LW20ESIT	LW20ESIT	LW20ESIT
LW21ESIT	New	Yellow	Reg	sitrep_senate	LW21ESIT	LW21ESIT	LW21ESIT
LW22ESIT	New	Yellow	Reg	sitrep_senate	LW22ESIT	LW22ESIT	LW22ESIT
LW23ESIT	New	Yellow	Reg	sitrep_senate	LW23ESIT	LW23ESIT	LW23ESIT
LW24ESIT	New	Yellow	Reg	sitrep_senate	LW24ESIT	LW24ESIT	LW24ESIT
LW25ESIT	New	Yellow	Reg	sitrep_senate	LW25ESIT	LW25ESIT	LW25ESIT
NewPresident	New	Event	Reg	ICO_SitRep_SenateElectionStarts	ELECT01	ELECT01	ELECT01
PresReelected	New	Event	Reg	ICO_SitRep_SenateElectionStarts	ELECT02	ELECT02	ELECT02
SenateNewMember	New	Event	Reg	ICO_SitRep_PendingMessages	SNTEJOIN	SNTEJOIN	SNTEJOIN
SenateKickedOut	New	Event	Reg	ICO_SitRep_PendingMessages	SNTEKICK	SNTEKICK	SNTEKICK
FirstContact	New	Red	Reg	sitrep_diplomacy	FCONTAC1	FCONTAC2	FCONTAC1
LoseContact	New	Red	Reg	sitrep_diplomacy	LCONTAC1	LCONTAC2	LCONTAC1
ReestablishContact	New	Red	Reg	sitrep_diplomacy	RCONTAC1	RCONTAC2	RCONTAC1
GCTechCaptured	New	Event	Reg	ICO_SitRep_ResearchBreakthrough	GCTCHCAP	GCTCHCAP	GCTCHCAP
TheyBombarded	New	Event	Reg	ICO_SitRep_MilitaryBuildingDestroyed	SCTHBMB1	SCTHBMB1	SCTHBMB1
WeBombarded	New	Event	Reg	ICO_SitRep_MilitaryBuildingDestroyed	SCWEBMB1	SCWEBMB1	SCWEBMB1
TheyDestroyed	New	Event	Reg	ICO_SitRep_MilitaryBuildingDestroyed	SCTHDES1	SCTHDES1	SCTHDES1
WeDestroyed	New	Event	Reg	ICO_SitRep_MilitaryBuildingDestroyed	SCWEDES1	SCWEDES1	SCWEDES1
TheirPlanetDefenseless	New	Event	Reg	ICO_SitRep_SpaceCombat	SCTHPDF1	SCTHPDF1	SCTHPDF1
OurPlanetDefenseless	New	Event	Reg	ICO_SitRep_SpaceCombat	SCMYPDF1	SCMYPDF1	SCMYPDF1
ArmyDesertS	New	Red	Reg	sitrep_spy	ARMYDES1	ARMYDES1	ARMYDES1
ArmyDesertT	New	Red	Reg	sitrep_spy	ARMYDES2	ARMYDES2	ARMYDES2
UnrestPlRaisedS	New	Red	Reg	sitrep_spy	PLAUNRV1	PLAUNRV1	PLAUNRV1
UnrestPlRaisedT	New	Red	Reg	sitrep_spy	PLAUNRV2	PLAUNRV3	PLAUNRV2
MineBuildDestroyedS	New	Yellow	Spies	sitrep_spy	MINEDES1	MINEDES1	MINEDES1
MineBuildDestroyedT	New	Yellow	Spies	sitrep_spy	MINEDESA	MINEDESA	MINEDESA
FarmBuildDestroyedS	New	Yellow	Spies	sitrep_spy	FARMDES1	FARMDES1	FARMDES1
FarmBuildDestroyedT	New	Yellow	Spies	sitrep_spy	FARMDESA	FARMDESA	FARMDESA
LeaderBribeS	New	Yellow	Spies	sitrep_spy	LEADBRI1	LEADBRI1	LEADBRI1
LeaderBribeT	New	Yellow	Spies	sitrep_spy	LEADBRIA	LEADBRIA	LEADBRIA
SPBuildDestroyedS	New	Yellow	Spies	sitrep_spy	SPDESTR1	SPDESTR1	SPDESTR1
SPBuildDestroyedT	New	Yellow	Spies	sitrep_spy	SPDESTRA	SPDESTRA	SPDESTRA
RebellionS	New	Event	Spies	ICO_SitRep_SpyBuilt	REBELLI1	REBELLI1	REBELLI1
RebellionT	New	Event	Spies	ICO_SitRep_SpyBuilt	REBELLIA	REBELLIA	REBELLIA
FactionS	New	Red	Spies	sitrep_spy	FACTION1	FACTION1	FACTION1
FactionT	New	Red	Spies	sitrep_spy	FACTIONA	FACTIONA	FACTIONA
GovChainS	New	Event	Spies	ICO_SitRep_SpyBuilt	GOVCHAI1	GOVCHAI1	GOVCHAI1
GovChainT	New	Event	Spies	ICO_SitRep_SpyBuilt	GOVCHAIA	GOVCHAIA	GOVCHAIA
MineChainS	New	Event	Spies	ICO_SitRep_SpyBuilt	MINECHA1	MINECHA1	MINECHA1
MineChainT	New	Event	Spies	ICO_SitRep_SpyBuilt	MINECHAA	MINECHAA	MINECHAA
ChainDesS	New	Event	Spies	ICO_SitRep_SpyBuilt	CHAINDE1	CHAINDE1	CHAINDE1
ChainDesT	New	Event	Spies	ICO_SitRep_SpyBuilt	CHAINDEA	CHAINDEA	CHAINDEA
GovBuildDestroyedS	New	Yellow	Spies	sitrep_spy	GOVSBSDA	GOVSBSDB	GOVSBSDB
GovBuildDestroyedT	New	Yellow	Spies	sitrep_spy	GOVSBRCA	GOVSBRCB	GOVSBRCB
AntaranRevolt	New	Event	Reg	ICO_SitRep_Revolt	AntaranRevolt	AntaranRevolt	AntaranRevolt
DiscoverSystem	New	Event	Reg	ICO_SitRep_ExplorationComplete	Discoversystem	DiscoverSystem	DiscoverSystem
TableEnd							
							
